KLS;Šifra;SORT;Naziv artikla;DIM;Naziv;Dimenzija/Model;Logo;Blister;PodNaziv;Slika;OpisG;OpisArtikla;Novo;Stil;Barcode;Mjera;Pakiranje;KLS_HR;KLS_ENG;Cijena VPC;Šifra partnera;Naziv partnera;IST;DT;Rabat;RabatA;Predraèun;Netto;Kolièina 1;Rabat 1;Kolièina 2;Rabat 2;Kolièina 3;Rabat 3;ŠifraAkcija;GrupaWEB;BrandWEB;KeywordWEB
09;"506143";1;"STOLNJAK 120×120cm SORTIRANO";"";"STOLNJAK SORTIRANO";"120×120 cm";;;"KVADRATNI";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000500000.jpg;"sastav polipropilen";"";;;"8052190876561";KOM;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";4,6100;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30275;;;
09;"506152";1;"STOLNJAK 120×180cm SORTIRANO";"";"STOLNJAK SORTIRANO";"120×180 cm";;;"PRAVOKUTNI";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000500100.jpg;"sastav polipropilen";"";;;"8052190876585";KOM;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";6,7600;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30277;;;
09;"506145";1;"STOLNJAK OKRUGLI 155cm SORTIRANO";"";"STOLNJAK OKRUGLI SORTIRANO";"155 cm";;;"";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000500150.jpg;"sastav polipropilen";"";;;"8052190876653";KOM;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";7,8500;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30351;;;
09;"516073";1;"STOLNJAK Art.163/A H-140cm L-20m SUNCOKRETI";"";"STOLNJAK SUNCOKRETI";"140 cm×20 m";;;"Art.163/A";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000501900.jpg;"";"";1;;"8052190884764";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";48,9500;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30323;;;
09;"507832";1;"STOLNJAK Art.1311/00, H.120cm L.20m LAVANDA";"";"STOLNJAK LAVANDA";"120 cm×20 m";;;"Art.1311/00";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502100.jpg;"sastav polipropilen";"";;;"8052190886263";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";47,4200;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30295;;;
09;"516854";1;"STOLNJAK Art.173/A H-120cm L-20m LAVANDA";"";"STOLNJAK LAVANDA";"120 cm×20 m";;;"Art.173/A";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502110.jpg;"";"";1;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";0,0000;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30355;;;
09;"509941";1;"STOLNJAK Art.107/A, H.120cm L.20m LAVANDA";"";"STOLNJAK LAVANDA";"120 cm×20 m";;;"Art.107/A";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502120.jpg;"sastav polipropilen";"";;;"8052190882081";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";45,2500;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30281;;;
09;"516074";2;"STOLNJAK Art.107/A H-140cm L-20m LAVANDA";"";"STOLNJAK LAVANDA";"140 cm×20 m";;;"Art.107/A";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502120.jpg;"sastav polipropilen";"";1;;"8052190882197";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";48,9500;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30279;;;
09;"516075";1;"STOLNJAK Art.1334/1 H-140cm L-20m FIKUS";"";"STOLNJAK FIKUS";"140 cm×20 m";;;"Art.1334/1";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502125.jpg;"";"";1;;"8052190894176";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";50,7500;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30299;;;
09;"516076";1;"STOLNJAK Art.204/A H-120cm L-20m PAPRAT";"";"STOLNJAK PAPRAT";"120 cm×20 m";;;"Art.204/A";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502126.jpg;"";"";1;;"8052190893193";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";44,9900;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30331;;;
09;"512090";1;"STOLNJAK Art.1299/2, H-120cm L-20m CVIJEÆE";"";"STOLNJAK CVIJEÆE";"120 cm×20 m";;;"Art.C99/1";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502130.jpg;"sastav polipropilen";"";;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";46,1000;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30289;;;
09;"516779";1;"STOLNJAK Art.1339/1 H-120cm L-20m CVIJEÆE";"";"STOLNJAK CVIJEÆE";"120 cm×20 m";;;"Art.1339/1";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502135.jpg;"";"";1;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";47,1100;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30303;;;
09;"516071";1;"STOLNJAK Art.1335/1 H-140cm L-20m CVIJEÆE";"";"STOLNJAK CVIJEÆE";"140 cm×20 m";;;"Art.1335/1";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502140.jpg;"";"";1;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";50,7500;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30301;;;
09;"516856";1;"STOLNJAK Art.145/A H-120cm L-20m CVIJEÆE";"";"STOLNJAK CVIJEÆE";"120 cm×20 m";;;"Art. 145/A";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502143.jpg;"";"";1;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";0,0000;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30359;;;
09;"516780";1;"STOLNJAK Art.1545/02 H-120cm L-20m TRATINÈICE";"";"STOLNJAK TRATINÈICE";"120 cm×20 m";;;"Art.1545/02";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502150.jpg;"";"";1;;"8052190882340";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";47,1100;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30321;;;
09;"516855";1;"STOLNJAK Art.138/A H-120cm L-20m RUŽE";"";"STOLNJAK RUŽE";"120 cm×20 m";;;"aRT.138/A";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502160.jpg;"";"";1;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";0,0000;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30357;;;
09;"510844";1;"STOLNJAK Art.4G5/05, H.120cm L.20m SRCE";"";"STOLNJAK SRCE";"120 cm×20 m";;;"Art.4G5/05";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502175.jpg;"sastav polipropilen";"";;;"5604517616935";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";47,4200;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30333;;;
09;"516858";1;"STOLNJAK Art.6353/01 H-140cm L-20m SRCA";"";"STOLNJAK SRCA";"140 cm×20 m";;;"Art.6353/01";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502180.jpg;"";"";1;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";0,0000;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30363;;;
09;"516782";1;"STOLNJAK Art.1271/1 H-140cm L-20m SRCA/MAŠNE";"";"STOLNJAK SRCA/MAŠNA";"140 cm×20 m";;;"";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502185.jpg;"";"";1;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";50,7000;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30285;;;
09;"513703";1;"STOLNJAK Art.108/A, H.120cm L.20m SRCE KVADRATI";"";"STOLNJAK SRCE KVADRATI";"120 cm×20 m";;;"Art.108/A";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502190.jpg;"sastav polipropilen";"";;;"8052190882074";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";44,9900;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30283;;;
09;"516853";1;"STOLNJAK Art.1431/01 H-120cm L-20m LEPTIRI";"";"STOLNJAK LEPTIRI";"120 cm×20 m";;;"Art.1431/01";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502230.jpg;"";"";1;;"8052190886324";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";47,1100;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30353;;;
09;"508380";1;"STOLNJAK Art.1709/02, H.140cm L.20m MORE";"";"STOLNJAK MORE";"140 cm×20 m";;;"Art.1709/02";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502300.jpg;"sastav polipropilen";"";;;"8052190891533";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";51,0400;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30327;;;
09;"516778";1;"STOLNJAK Art.1341/1 H-120cm L-20m MORE SIDRO";"";"STOLNJAK MORE SIDRO";"120 cm×20 m";;;"Art.1340/1";\\SRV-TS01\Svasta\Italcro\Photo\9KucnePotrepstine\09000502310.jpg;"";"";1;;"";KOL;"1";"KUÆNE POTREPŠTINE";"HOME SUPPLIES";47,1100;0000738;"E-PLAST SRL";ITA;;22,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;30307;;;
